"The securities laws of the 1930s were so important because it forced companies to file registration statements and issue prospectuses, and it remedied the imbalance of information.","Ron Chernow"
"He who joyfully marches in rank and file has already earned my contempt. He has been given a large brain by mistake, since for him the spinal cord would suffice.","Albert Einstein"
"If you have an anecdote from one source, you file it away. If you hear it again, it may be true. Then the more times you hear it the less likely it is to be true.","Anthony Holden"
"In masks outrageous and austere, The years go by in single file; But none has merited my fear, And none has quite escaped my smile.","Elinor Wylie"
"Nostalgia is a file that removes the rough edges from the good old days.","Doug Larson"
"This is your silly web browser doing that. The file is correctly named.","Rasmus Lerdorf"
"I just go to lunch. And I never know when something is going into the file and something is not.","Donna Leon"
"File sharing is our radio; that's the way people hear our stuff.","Guy Picciotto"
"They also can combine voice with instant messaging and online file sharing.","Niklas Zennstrom"
"I wanted to have virtual memory, at least as it's coupled with file systems.","Ken Thompson"
"If operating in a network environment, do not place public domain or shareware programs in a common file-server directory that could be accessible to any other PC on the network.","John McAfee"
"I would first recommend we appoint a Police Director that commands the respect of the rank and file.","Vincent Frank"
"It is the rank and file - the average woman - for whom the world has opened up so astonishingly.","Mary A. Ward"
"I usually create sounds and have different generators running over it. You know you can open a word-file as a picture or the other way round. I do the same with sounds.","Alva Noto"
"It has to be able to play at the maximum expression and communication in every style, and the only way you can do that is - like Verdi said - working with a file, every day, little by little, until the orchestra's collective qualities emerge.","James Levine"
"The Pawn moves only one square at a time, and that straight forward, except in the act of capturing, when it takes one step diagonally to the right or left file on to the square occupied by the man taken, and continues on that file until it captures another man.","Howard Staunton"
"Our old site did not have very good support for the disabled, but our new site should soon have much better support. With all of our content in divs now, we can hide all but the relevant chunks of content and navigation with a simple alternate CSS file.","Mike Davidson"
"Gradually I became aware of details: a company of French soldiers was marching through the streets of the town. They broke formation, and went in single file along the communication trench leading to the front line. Another group followed them.","Ernst Toller"
"Once the image was in the digital environment, one of the problems was, we had no means to reproduce the color spectrum, grey scale, and contrast that film produces, without converting the digital file to film, evaluating it, then going back and changing the digital image.","John Dykstra"
"Animals when in company walk in a proper and sensible manner, in single file, instead of sprawling all across the road and being of no use or support to each other in case of sudden trouble or danger.","Kenneth Grahame"
"The big news already broke. The file-sharing and all that stuff, it's a done deal. And I think figuring out how to make that a fair exchange for the people that make music is still an issue.","Liz Phair"
"Today, certain people file for bankruptcy, businesses and individuals, and it no longer has the stigma it once had. Now it's almost considered wise, a way to regroup and come back again.","David Dinkins"
"And so every one of us in the FBI, I don't care if it's a file clerk someplace or an agent there or a computer specialist, understands that our main mission is to protect the public from another September 11, another terrorist attack.","Robert Mueller"
"It was a show where you were given a quote out of current events and you had to identify who said it. I was reading eight newspapers a day and had compiled a file of about 300 quotes. I really had to do my research. The White House press didn't have to bone up on any of it.","June Lockhart"
"TCP works very hard to get the data delivered in order without errors and does retransmissions and recoveries and all that kind of stuff which is exactly what you want in a file transfer because so you don't want any errors in your file.","Jon Postel"
"People are stunned to hear that one company has data files on 185 million Americans.","Ralph Nader"
"From my sketch files I'll find a pose that shows the emotion behind a particular character's story.","Frank Bruno"
"There was no indication of panic. The broken files marched back in steady step. The effort was nobly made and failed from the blows that could not be fended.","James Longstreet"
"Poor fellow, he suffers from files.","Aneurin Bevan"
"It is our goal to provide full public access to as many files as we possibly can.","Shirley Williams"
"I the heir of all the ages, in the foremost files of time.","Alfred Lord Tennyson"
"Ritual murder is referred to in court files which are located in Rome. There are pictures in it which show that in 23 cases, the Church itself has dealt with the question.","Julius Streicher"
"I used the best technique that I knew to protect my files.","Wen Ho Lee"
"The current medical records system is this: Room after room after room in a hospital filled with paper files.","Timothy Murphy"
"The Bureau doesn't have any secret files.","W. Mark Felt"
"Unauthorized use of these MP3 files is really creating a problem for artists in the music community.","Hilary Rosen"
"Deep Throat is a guy who could have your files and mine in his trust.","Chuck Colson"
"We have persistant objects, they're called files.","Ken Thompson"
"Computers are hierarchical. We have a desktop and hierarchical files which have to mean everything.","Ted Nelson"
"How time files when you's doin' all the talking.","Harvey Fierstein"
"There have been a couple of instances prior to now where members of the House have filed resolutions calling for release of the sealed files which were developed during the course of our committee's investigation.","Louis Stokes"
"It's clear that people are going to download media files, and they're going to talk to each other, and they're going to exchange information and knowledge and so forth. So this system logic is basically what you bounce off of.","Michael Nesmith"
"I thought cryptography was a technique that did not require your trusting other people-that if you encrypted your files, you would have the control to make the choice as to whether you would surrender your files.","Whitfield Diffie"
