,State,Abbreviation
0,Alabama,AL
1,Alaska,AK
2,Arizona,AZ
3,Arkansas,AR
4,California,CA
5,Colorado,CO
6,Connecticut,CT
7,Delaware,DE
8,District of Columbia,DC
9,Florida,FL
10,Georgia,GA
11,Hawaii,HI
12,Idaho,ID
13,Illinois,IL
14,Indiana,IN
15,Iowa,IA
16,Kansas,KS
17,Kentucky,KY
18,Louisiana,LA
19,Maine,ME
20,Montana,MT
21,Nebraska,NE
22,Nevada,NV
23,New Hampshire,NH
24,New Jersey,NJ
25,New Mexico,NM
26,New York,NY
27,North Carolina,NC
28,North Dakota,ND
29,Ohio,OH
30,Oklahoma,OK
31,Oregon,OR
32,Maryland,MD
33,Massachusetts,MA
34,Michigan,MI
35,Minnesota,MN
36,Mississippi,MS
37,Missouri,MO
38,Pennsylvania,PA
39,Rhode Island,RI
40,South Carolina,SC
41,South Dakota,SD
42,Tennessee,TN
43,Texas,TX
44,Utah,UT
45,Vermont,VT
46,Virginia,VA
47,Washington,WA
48,West Virginia,WV
49,Wisconsin,WI
50,Wyoming,WY
