,fiscal_year,presidents_party,senate_majority_party,house_majority_party,topbracket_marginal_income_tax_rate,national_debt_millions,national_debt_millions_of_1983_dollars,deficit_millions_of_1983_dollars,net_surplus_in_1983_dollars_b,fiscal_year_start,fiscal_year_end
0,2018,R,R,R,38.3,21089643.0,8470042.0,431443.0,-430.0,10/2017,3/2018
1,2017,DR,R,R,39.6,20373231.0,8254321.0,146957.0,-150.0,10/2016,9/2017
2,2016,D,R,R,39.6,19573445.0,8107363.0,233873.0,-230.0,12/2015,9/2016
3,2015,D,DR,R,39.6,18827323.0,7900151.0,363718.0,-360.0,10/2014,11/2015
4,2014,D,D,R,39.6,17824071.0,7488130.0,155132.0,-160.0,11/2013,9/2014
5,2013,D,D,R,39.6,17156117.0,7345926.0,403076.0,-400.0,10/2012,10/2013
6,2012,D,D,R,35.0,16066241.0,6942850.0,424094.0,-420.0,10/2011,9/2012
7,2011,D,D,DR,35.0,14790340.0,6518756.0,310330.0,-310.0,10/2010,9/2011
8,2010,D,D,D,35.0,13561623.0,6208425.0,693824.0,-690.0,10/2009,9/2010
9,2009,DR,D,D,35.0,11909829.0,5514601.0,932561.0,-930.0,10/2008,9/2009
10,2008,R,D,D,35.0,10024724.0,4582040.0,261615.0,-260.0,10/2007,9/2008
11,2007,R,DR,DR,35.0,9007653.0,4320424.0,127731.0,-130.0,10/2006,9/2007
12,2006,R,R,R,35.0,8506973.0,4192692.0,202396.0,-200.0,10/2005,9/2006
13,2005,R,R,R,35.0,7932709.0,3990296.0,104539.0,-100.0,10/2004,9/2005
14,2004,R,R,R,35.0,7379052.0,3885757.0,223105.0,-220.0,10/2003,9/2004
15,2003,R,DR,R,38.6,6783231.0,3662652.0,221637.0,-220.0,10/2002,9/2003
16,2002,R,D,R,39.1,6228235.0,3441014.0,183884.0,-180.0,10/2001,9/2002
17,2001,DR,DR,R,39.6,5807463.0,3257130.0,-9523.0,10.0,10/2000,9/2001
18,2000,D,R,R,39.6,5674178.0,3266654.0,-102179.0,100.0,10/1999,9/2000
19,1999,D,R,R,39.6,5656270.0,3368833.0,-9035.0,10.0,10/1998,9/1999
20,1998,D,R,R,39.6,5526193.0,3377869.0,19838.0,-20.0,10/1997,9/1998
21,1997,D,R,R,39.6,5413146.0,3358031.0,46997.0,-50.0,10/1996,9/1997
22,1996,D,R,R,39.6,5224810.0,3311034.0,64308.0,-60.0,10/1995,9/1996
23,1995,D,DR,DR,39.6,4973982.0,3246725.0,105661.0,-110.0,10/1994,9/1995
24,1994,D,D,D,39.6,4692749.0,3141064.0,100755.0,-100.0,10/1993,9/1994
25,1993,DR,D,D,31.0,4411488.0,3040309.0,163720.0,-160.0,10/1992,9/1993
26,1992,R,D,D,31.0,4064620.0,2876589.0,205085.0,-210.0,10/1991,9/1992
27,1991,R,D,D,28.0,3665303.0,2671504.0,234945.0,-230.0,10/1990,9/1991
