,Fiscal year,President's party,Senate majority party,House majority party,Top-bracket marginal income tax rate,National debt millions,National debt millions of 1983 dollars,"Deficit
(millions of 1983 dollars)",Surplus string in 1983 dollars,Deficit string in 1983 dollars ($ = $10B),Net surplus in 1983 dollars ($B)
0,10/2017-3/2018,R,R,R,38.3%,"$21,089,643","$8,470,042","$431,443",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-430.0
1,10/2016-9/2017,DR,R,R,39.6%,"$20,373,231","$8,254,321","$146,957",,$$$$$$$$$$$$$$$,-150.0
2,12/2015-9/2016,D,R,R,39.6%,"$19,573,445","$8,107,363","$233,873",,$$$$$$$$$$$$$$$$$$$$$$$,-230.0
3,10/2014-11/2015,D,DR,R,39.6%,"$18,827,323","$7,900,151","$363,718",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-360.0
4,11/2013-9/2014,D,D,R,39.6%,"$17,824,071","$7,488,130","$155,132",,$$$$$$$$$$$$$$$$,-160.0
5,10/2012-10/2013,D,D,R,39.6%,"$17,156,117","$7,345,926","$403,076",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-400.0
6,10/2011-9/2012,D,D,R,35.0%,"$16,066,241","$6,942,850","$424,094",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-420.0
7,10/2010-9/2011,D,D,DR,35.0%,"$14,790,340","$6,518,756","$310,330",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-310.0
8,10/2009-9/2010,D,D,D,35.0%,"$13,561,623","$6,208,425","$693,824",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-690.0
9,10/2008-9/2009,DR,D,D,35.0%,"$11,909,829","$5,514,601","$932,561",,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,-930.0
10,10/2007-9/2008,R,D,D,35.0%,"$10,024,724","$4,582,040","$261,615",,$$$$$$$$$$$$$$$$$$$$$$$$$$,-260.0
11,10/2006-9/2007,R,DR,DR,35.0%,"$9,007,653","$4,320,424","$127,731",,$$$$$$$$$$$$$,-130.0
12,10/2005-9/2006,R,R,R,35.0%,"$8,506,973","$4,192,692","$202,396",,$$$$$$$$$$$$$$$$$$$$,-200.0
13,10/2004-9/2005,R,R,R,35.0%,"$7,932,709","$3,990,296","$104,539",,$$$$$$$$$$,-100.0
14,10/2003-9/2004,R,R,R,35.0%,"$7,379,052","$3,885,757","$223,105",,$$$$$$$$$$$$$$$$$$$$$$,-220.0
15,10/2002-9/2003,R,DR,R,38.6%,"$6,783,231","$3,662,652","$221,637",,$$$$$$$$$$$$$$$$$$$$$$,-220.0
16,10/2001-9/2002,R,D,R,39.1%,"$6,228,235","$3,441,014","$183,884",,$$$$$$$$$$$$$$$$$$,-180.0
17,10/2000-9/2001,DR,DR,R,39.6%,"$5,807,463","$3,257,130","-$9,523",$,,10.0
18,10/1999-9/2000,D,R,R,39.6%,"$5,674,178","$3,266,654","-$102,179",$$$$$$$$$$,,100.0
19,10/1998-9/1999,D,R,R,39.6%,"$5,656,270","$3,368,833","-$9,035",$,,10.0
20,10/1997-9/1998,D,R,R,39.6%,"$5,526,193","$3,377,869","$19,838",,$$,-20.0
21,10/1996-9/1997,D,R,R,39.6%,"$5,413,146","$3,358,031","$46,997",,$$$$$,-50.0
22,10/1995-9/1996,D,R,R,39.6%,"$5,224,810","$3,311,034","$64,308",,$$$$$$,-60.0
23,10/1994-9/1995,D,DR,DR,39.6%,"$4,973,982","$3,246,725","$105,661",,$$$$$$$$$$$,-110.0
24,10/1993-9/1994,D,D,D,39.6%,"$4,692,749","$3,141,064","$100,755",,$$$$$$$$$$,-100.0
25,10/1992-9/1993,DR,D,D,31.0%,"$4,411,488","$3,040,309","$163,720",,$$$$$$$$$$$$$$$$,-160.0
26,10/1991-9/1992,R,D,D,31.0%,"$4,064,620","$2,876,589","$205,085",,$$$$$$$$$$$$$$$$$$$$$,-210.0
27,10/1990-9/1991,R,D,D,28.0%,"$3,665,303","$2,671,504","$234,945",,$$$$$$$$$$$$$$$$$$$$$$$,-230.0
28,10/1989-9/1990,R,D,D,28.0%,"$3,233,313","$2,436,559","$150,614",,$$$$$$$$$$$$$$$,-150.0
29,10/1988-9/1989,R,D,D,28.0%,"$2,857,430","$2,285,945","$113,710",,$$$$$$$$$$$,-110.0
30,10/1987-9/1988,R,D,D,38.5%,"$2,602,337","$2,172,235","$128,516",,$$$$$$$$$$$$$,-130.0
31,10/1986-9/1987,R,DR,D,50.0%,"$2,350,276","$2,043,719","$115,132",,$$$$$$$$$$$$,-120.0
32,10/1985-9/1986,R,R,D,50.0%,"$2,125,302","$1,928,587","$245,204",,$$$$$$$$$$$$$$$$$$$$$$$$$,-250.0
33,10/1984-9/1985,R,R,D,50.0%,"$1,823,103","$1,683,382","$185,986",,$$$$$$$$$$$$$$$$$$$,-190.0
34,10/1983-9/1984,R,R,D,50.0%,"$1,572,266","$1,497,396","$129,760",,$$$$$$$$$$$$$,-130.0
35,10/1982-9/1983,R,R,D,50.0%,"$1,377,210","$1,367,637","$201,105",,$$$$$$$$$$$$$$$$$$$$,-200.0
36,10/1981-9/1982,R,R,D,70.0%,"$1,142,034","$1,166,531","$95,871",,$$$$$$$$$$,-100.0
37,10/1980-9/1981,DR,DR,D,70.0%,"$997,855","$1,070,660","-$9,937",$,,10.0
38,10/1979-9/1980,D,D,D,70.0%,"$907,701","$1,080,596","-$27,338",$$$,,30.0
39,10/1978-9/1979,D,D,D,70.0%,"$826,519","$1,107,934","-$52,282",$$$$$,,50.0
40,10/1977-9/1978,D,D,D,70.0%,"$771,544","$1,160,217","$22,041",,$$,-20.0
41,7/1976-9/1977,DR,D,D,70.0%,"$698,840","$1,138,176","$36,691",,$$$$,-40.0
42,7/1975-6/1976,R,D,D,70.0%,"$620,433","$1,092,312","$97,556",,$$$$$$$$$$,-100.0
43,7/1974-6/1975,R,D,D,70.0%,"$533,189","$994,756","$25,246",,$$$,-30.0
44,7/1973-6/1974,R,D,D,70.0%,"$475,059","$969,510","-$67,010",$$$$$$$,,70.0
45,7/1972-6/1973,R,D,D,70.0%,"$458,141","$1,036,519","$11,914",,$,-10.0
46,7/1971-6/1972,R,D,D,70.0%,"$427,260","$1,024,605","$43,990",,$$$$,-40.0
47,7/1970-6/1971,R,D,D,70.0%,"$398,129","$980,615","$24,639",,$$,-20.0
48,7/1969-6/1970,R,D,D,70.0%,"$370,918","$955,976","-$10,473",$,,10.0
49,7/1968-6/1969,DR,D,D,70.0%,"$353,720","$966,449","-$35,218",$$$$,,40.0
50,7/1967-6/1968,D,D,D,70.0%,"$347,578","$1,001,667","$22,024",,$$,-20.0
51,7/1966-6/1967,D,D,D,70.0%,"$326,220","$979,642","-$7,725",$,,10.0
52,7/1965-6/1966,D,D,D,70.0%,"$319,907","$987,368","-$16,664",$$,,20.0
53,7/1964-6/1965,D,D,D,77.0%,"$317,273","$1,004,031","-$1,494",,,0.0
54,7/1963-6/1964,D,D,D,91.0%,"$311,712","$1,005,525","$5,984",,$,-10.0
55,7/1962-6/1963,D,D,D,91.0%,"$305,859","$999,541","$12,121",,$,-10.0
56,7/1961-6/1962,D,D,D,91.0%,"$298,200","$987,420","$17,719",,$$,-20.0
