,code_point,char,utf8,name,multiascii,ascii
0,U+0000,,0,CONTROL CHARACTER,,
1,U+0001,,1,CONTROL CHARACTER,,
2,U+0002,,2,CONTROL CHARACTER,,
3,U+0003,,3,CONTROL CHARACTER,,
4,U+0004,,4,CONTROL CHARACTER,,
5,U+0005,,5,CONTROL CHARACTER,,
6,U+0006,,6,CONTROL CHARACTER,,
7,U+0007,,7,CONTROL CHARACTER,,
8,U+0008,,8,CONTROL CHARACTER,,
9,U+0009,,9,CONTROL CHARACTER,,
10,U+000A,,0a,CONTROL CHARACTER,,
11,U+000B,,0b,CONTROL CHARACTER,,
12,U+000C,,0c,CONTROL CHARACTER,,
13,U+000D,,0d,CONTROL CHARACTER,,
14,U+000E,,0e,CONTROL CHARACTER,,
15,U+000F,,0f,CONTROL CHARACTER,,
16,U+0010,,10,CONTROL CHARACTER,,
17,U+0011,,11,CONTROL CHARACTER,,
18,U+0012,,12,CONTROL CHARACTER,,
19,U+0013,,13,CONTROL CHARACTER,,
20,U+0014,,14,CONTROL CHARACTER,,
21,U+0015,,15,CONTROL CHARACTER,,
22,U+0016,,16,CONTROL CHARACTER,,
23,U+0017,,17,CONTROL CHARACTER,,
24,U+0018,,18,CONTROL CHARACTER,,
25,U+0019,,19,CONTROL CHARACTER,,
26,U+001A,,1a,CONTROL CHARACTER,,
27,U+001B,,1b,CONTROL CHARACTER,,
28,U+001C,,1c,CONTROL CHARACTER,,
29,U+001D,,1d,CONTROL CHARACTER,,
30,U+001E,,1e,CONTROL CHARACTER,,
31,U+001F,,1f,CONTROL CHARACTER,,
32,U+0020,,20,SPACE,,
33,U+0021,!,21,EXCLAMATION MARK,!,
34,U+0022,"""",22,QUOTATION MARK,"""",
35,U+0023,#,23,NUMBER SIGN,#,
36,U+0024,$,24,DOLLAR SIGN,$,
37,U+0025,%,25,PERCENT SIGN,%,
38,U+0026,&,26,AMPERSAND,&,
39,U+0027,,27,APOSTROPHE,,
40,U+0028,(,28,LEFT PARENTHESIS,(,
41,U+0029,),29,RIGHT PARENTHESIS,),
42,U+002A,*,2a,ASTERISK,*,
43,U+002B,Err:520,2b,PLUS SIGN,Err:520,
44,U+002C,",",2c,COMMA,",",
45,U+002D,-,2d,HYPHEN-MINUS,-,
46,U+002E,.,2e,FULL STOP,.,
47,U+002F,/,2f,SOLIDUS,/,
48,U+0030,0,30,DIGIT ZERO,0,
49,U+0031,1,31,DIGIT ONE,1,
50,U+0032,2,32,DIGIT TWO,2,
51,U+0033,3,33,DIGIT THREE,3,
52,U+0034,4,34,DIGIT FOUR,4,
53,U+0035,5,35,DIGIT FIVE,5,
54,U+0036,6,36,DIGIT SIX,6,
55,U+0037,7,37,DIGIT SEVEN,7,
56,U+0038,8,38,DIGIT EIGHT,8,
57,U+0039,9,39,DIGIT NINE,9,
58,U+003A,:,3a,COLON,:,
59,U+003B,;,3b,SEMICOLON,;,
60,U+003C,<,3c,LESS-THAN SIGN,<,
61,U+003D,=,3d,EQUALS SIGN,=,
62,U+003E,>,3e,GREATER-THAN SIGN,>,
63,U+003F,?,3f,QUESTION MARK,?,
64,U+0040,@,40,COMMERCIAL AT,@,
65,U+0041,A,41,LATIN CAPITAL LETTER A,A,
66,U+0042,B,42,LATIN CAPITAL LETTER B,B,
