"code_point","char","utf8","name","multiascii","ascii"
"U+0000",,0,"<control>",,
"U+0001",,1,"<control>",,
"U+0002",,2,"<control>",,
"U+0003",,3,"<control>",,
"U+0004",,4,"<control>",,
"U+0005",,5,"<control>",,
"U+0006",,6,"<control>",,
"U+0007",,7,"<control>",,
"U+0008",,8,"<control>",,
"U+0009",,9,"<control>",,
"U+000A",,"0a","<control>",,
"U+000B",,"0b","<control>",,
"U+000C",,"0c","<control>",,
"U+000D",,"0d","<control>",,
"U+000E",,"0e","<control>",,
"U+000F",,"0f","<control>",,
"U+0010",,10,"<control>",,
"U+0011",,11,"<control>",,
"U+0012",,12,"<control>",,
"U+0013",,13,"<control>",,
"U+0014",,14,"<control>",,
"U+0015",,15,"<control>",,
"U+0016",,16,"<control>",,
"U+0017",,17,"<control>",,
"U+0018",,18,"<control>",,
"U+0019",,19,"<control>",,
"U+001A",,"1a","<control>",,
"U+001B",,"1b","<control>",,
"U+001C",,"1c","<control>",,
"U+001D",,"1d","<control>",,
"U+001E",,"1e","<control>",,
"U+001F",,"1f","<control>",,
"U+0020",,20,"SPACE",,
"U+0021","!",21,"EXCLAMATION MARK","!",
"U+0022","""",22,"QUOTATION MARK","""",
"U+0023","#",23,"NUMBER SIGN","#",
"U+0024","$",24,"DOLLAR SIGN","$",
"U+0025","%",25,"PERCENT SIGN","%",
"U+0026","&",26,"AMPERSAND","&",
"U+0027",,27,"APOSTROPHE",,
"U+0028","(",28,"LEFT PARENTHESIS","(",
"U+0029",")",29,"RIGHT PARENTHESIS",")",
"U+002A","*","2a","ASTERISK","*",
"U+002B","+","2b","PLUS SIGN","+",
"U+002C",",","2c","COMMA",",",
"U+002D","-","2d","HYPHEN-MINUS","-",
"U+002E",".","2e","FULL STOP",".",
"U+002F","/","2f","SOLIDUS","/",
"U+0030",0,30,"DIGIT ZERO",0,
"U+0031",1,31,"DIGIT ONE",1,
"U+0032",2,32,"DIGIT TWO",2,
"U+0033",3,33,"DIGIT THREE",3,
"U+0034",4,34,"DIGIT FOUR",4,
"U+0035",5,35,"DIGIT FIVE",5,
"U+0036",6,36,"DIGIT SIX",6,
"U+0037",7,37,"DIGIT SEVEN",7,
"U+0038",8,38,"DIGIT EIGHT",8,
"U+0039",9,39,"DIGIT NINE",9,
"U+003A",":","3a","COLON",":",
"U+003B",";","3b","SEMICOLON",";",
"U+003C","<","3c","LESS-THAN SIGN","<",
"U+003D","=","3d","EQUALS SIGN","=",
"U+003E",">","3e","GREATER-THAN SIGN",">",
"U+003F","?","3f","QUESTION MARK","?",
"U+0040","@",40,"COMMERCIAL AT","@",
"U+0041","A",41,"LATIN CAPITAL LETTER A","A",
"U+0042","B",42,"LATIN CAPITAL LETTER B","B",
"U+0043","C",43,"LATIN CAPITAL LETTER C","C",
"U+0044","D",44,"LATIN CAPITAL LETTER D","D",
"U+0045","E",45,"LATIN CAPITAL LETTER E","E",
"U+0046","F",46,"LATIN CAPITAL LETTER F","F",
"U+0047","G",47,"LATIN CAPITAL LETTER G","G",
"U+0048","H",48,"LATIN CAPITAL LETTER H","H",
"U+0049","I",49,"LATIN CAPITAL LETTER I","I",
"U+004A","J","4a","LATIN CAPITAL LETTER J","J",
"U+004B","K","4b","LATIN CAPITAL LETTER K","K",
"U+004C","L","4c","LATIN CAPITAL LETTER L","L",
"U+004D","M","4d","LATIN CAPITAL LETTER M","M",
"U+004E","N","4e","LATIN CAPITAL LETTER N","N",
"U+004F","O","4f","LATIN CAPITAL LETTER O","O",
"U+0050","P",50,"LATIN CAPITAL LETTER P","P",
"U+0051","Q",51,"LATIN CAPITAL LETTER Q","Q",
"U+0052","R",52,"LATIN CAPITAL LETTER R","R",
"U+0053","S",53,"LATIN CAPITAL LETTER S","S",
"U+0054","T",54,"LATIN CAPITAL LETTER T","T",
"U+0055","U",55,"LATIN CAPITAL LETTER U","U",
"U+0056","V",56,"LATIN CAPITAL LETTER V","V",
"U+0057","W",57,"LATIN CAPITAL LETTER W","W",
"U+0058","X",58,"LATIN CAPITAL LETTER X","X",
"U+0059","Y",59,"LATIN CAPITAL LETTER Y","Y",
"U+005A","Z","5a","LATIN CAPITAL LETTER Z","Z",
"U+005B","[","5b","LEFT SQUARE BRACKET","[",
"U+005C","\","5c","REVERSE SOLIDUS","\",
"U+005D","]","5d","RIGHT SQUARE BRACKET","]",
"U+005E","^","5e","CIRCUMFLEX ACCENT","^",
"U+005F","_","5f","LOW LINE","_",
"U+0060","`",60,"GRAVE ACCENT","`",
"U+0061","a",61,"LATIN SMALL LETTER A","a",
"U+0062","b",62,"LATIN SMALL LETTER B","b",
"U+0063","c",63,"LATIN SMALL LETTER C","c",
"U+0064","d",64,"LATIN SMALL LETTER D","d",
"U+0065","e",65,"LATIN SMALL LETTER E","e",
"U+0066","f",66,"LATIN SMALL LETTER F","f",
"U+0067","g",67,"LATIN SMALL LETTER G","g",
"U+0068","h",68,"LATIN SMALL LETTER H","h",
"U+0069","i",69,"LATIN SMALL LETTER I","i",
"U+006A","j","6a","LATIN SMALL LETTER J","j",
"U+006B","k","6b","LATIN SMALL LETTER K","k",
"U+006C","l","6c","LATIN SMALL LETTER L","l",
"U+006D","m","6d","LATIN SMALL LETTER M","m",
"U+006E","n","6e","LATIN SMALL LETTER N","n",
"U+006F","o","6f","LATIN SMALL LETTER O","o",
"U+0070","p",70,"LATIN SMALL LETTER P","p",
"U+0071","q",71,"LATIN SMALL LETTER Q","q",
"U+0072","r",72,"LATIN SMALL LETTER R","r",
"U+0073","s",73,"LATIN SMALL LETTER S","s",
"U+0074","t",74,"LATIN SMALL LETTER T","t",
"U+0075","u",75,"LATIN SMALL LETTER U","u",
"U+0076","v",76,"LATIN SMALL LETTER V","v",
"U+0077","w",77,"LATIN SMALL LETTER W","w",
"U+0078","x",78,"LATIN SMALL LETTER X","x",
"U+0079","y",79,"LATIN SMALL LETTER Y","y",
